tweet_id,timestamp,text,source,retweeted_status_user_id,retweet_count,rating_numerator,rating_denominator,name,jpg_url,favorite_count,expanded_urls,dog_stage
892177421306343426,2017-08-01 00:17:27+00:00,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",Twitter for iPhone,,6514,13,10,Tilly,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,33819,https://twitter.com/dog_rates/status/892177421306343426/photo/1,
891689557279858688,2017-07-30 15:58:51+00:00,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,Twitter for iPhone,,8964,13,10,Darla,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,42908,https://twitter.com/dog_rates/status/891689557279858688/photo/1,
891087950875897856,2017-07-29 00:08:17+00:00,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,Twitter for iPhone,,3261,13,10,,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,20562,https://twitter.com/dog_rates/status/891087950875897856/photo/1,
890729181411237888,2017-07-28 00:22:40+00:00,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,Twitter for iPhone,,16716,13,10,,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,56848,"https://twitter.com/dog_rates/status/890729181411237888/photo/1,https://twitter.com/dog_rates/status/890729181411237888/photo/1",
890240255349198849,2017-07-26 15:59:51+00:00,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,Twitter for iPhone,,7711,14,10,Cassie,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,32467,https://twitter.com/dog_rates/status/890240255349198849/photo/1,doggo
889880896479866881,2017-07-25 16:11:53+00:00,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy https://t.co/u1XPQMl29g,Twitter for iPhone,,5156,13,10,Bruno,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,28268,https://twitter.com/dog_rates/status/889880896479866881/photo/1,
889638837579907072,2017-07-25 00:10:02+00:00,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist https://t.co/f8dEDcrKSR,Twitter for iPhone,,4735,12,10,Ted,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,27672,"https://twitter.com/dog_rates/status/889638837579907072/photo/1,https://twitter.com/dog_rates/status/889638837579907072/photo/1",
889278841981685760,2017-07-24 00:19:32+00:00,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek https://t.co/WpHvrQedPb,Twitter for iPhone,,5637,13,10,Oliver,https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg,25652,https://twitter.com/dog_rates/status/889278841981685760/video/1,
888804989199671297,2017-07-22 16:56:37+00:00,This is Zeke. He has a new stick. Very proud of it. Would like you to throw it for him without taking it. 13/10 would do my best https://t.co/HTQ77yNQ5K,Twitter for iPhone,,4559,13,10,Zeke,https://pbs.twimg.com/media/DFWra-3VYAA2piG.jpg,26080,"https://twitter.com/dog_rates/status/888804989199671297/photo/1,https://twitter.com/dog_rates/status/888804989199671297/photo/1",
888078434458587136,2017-07-20 16:49:33+00:00,This is Gerald. He was just told he didn't get the job he interviewed for. A h*ckin injustice. 12/10 didn't want the job anyway https://t.co/DK7iDPfuRX,Twitter for iPhone,,3653,12,10,Gerald,https://pbs.twimg.com/media/DFMWn56WsAAkA7B.jpg,22201,"https://twitter.com/dog_rates/status/888078434458587136/photo/1,https://twitter.com/dog_rates/status/888078434458587136/photo/1",
887517139158093824,2017-07-19 03:39:09+00:00,I've yet to rate a Venezuelan Hover Wiener. This is such an honor. 14/10 paw-inspiring af (IG: roxy.thedoxy) https://t.co/20VrLAA8ba,Twitter for iPhone,,12082,14,10,,https://pbs.twimg.com/ext_tw_video_thumb/887517108413886465/pu/img/WanJKwssZj4VJvL9.jpg,46959,https://twitter.com/dog_rates/status/887517139158093824/video/1,
887343217045368832,2017-07-18 16:08:03+00:00,You may not have known you needed to see this today. 13/10 please enjoy (IG: emmylouroo) https://t.co/WZqNqygEyV,Twitter for iPhone,,10737,13,10,,https://pbs.twimg.com/ext_tw_video_thumb/887343120832229379/pu/img/6HSuFrW1lzI_9Mht.jpg,34222,https://twitter.com/dog_rates/status/887343217045368832/video/1,
886983233522544640,2017-07-17 16:17:36+00:00,This is Maya. She's very shy. Rarely leaves her cup. 13/10 would find her an environment to thrive in https://t.co/I6oNy0CgiT,Twitter for iPhone,,8084,13,10,Maya,https://pbs.twimg.com/media/DE8yicJW0AAAvBJ.jpg,35859,"https://twitter.com/dog_rates/status/886983233522544640/photo/1,https://twitter.com/dog_rates/status/886983233522544640/photo/1",
886680336477933568,2017-07-16 20:14:00+00:00,This is Derek. He's late for a dog meeting. 13/10 pet...al to the metal https://t.co/BCoWue0abA,Twitter for iPhone,,4610,13,10,Derek,https://pbs.twimg.com/media/DE4fEDzWAAAyHMM.jpg,22798,https://twitter.com/dog_rates/status/886680336477933568/photo/1,
885528943205470208,2017-07-13 15:58:47+00:00,This is Maisey. She fell asleep mid-excavation. Happens to the best of us. 13/10 would pat noggin approvingly https://t.co/tp1kQ8i9JF,Twitter for iPhone,,6683,13,10,Maisey,https://pbs.twimg.com/media/DEoH3yvXgAAzQtS.jpg,36689,https://twitter.com/dog_rates/status/885528943205470208/photo/1,
884925521741709313,2017-07-12 00:01:00+00:00,"This is Earl. He found a hat. Nervous about what you think of it. 12/10 it's delightful, Earl https://t.co/MYJvdlNRVa",Twitter for iPhone,,16439,12,10,Earl,https://pbs.twimg.com/media/DEfjEaNXkAAtPlj.jpg,68152,https://twitter.com/dog_rates/status/884925521741709313/photo/1,
884562892145688576,2017-07-11 00:00:02+00:00,This is Kevin. He's just so happy. 13/10 what is your secret Kevin https://t.co/1r4MFCbCX5,Twitter for iPhone,,5100,13,10,Kevin,https://pbs.twimg.com/media/DEaZQkfXUAEC7qB.jpg,24765,https://twitter.com/dog_rates/status/884562892145688576/photo/1,
883838122936631299,2017-07-09 00:00:04+00:00,This is Noah. He can't believe someone made this mess. Got the vacuum out for you though. Offered to help clean pup. 12/10 super good boy https://t.co/V85xujjDDY,Twitter for iPhone,,3586,12,10,Noah,https://pbs.twimg.com/media/DEQGFgAXUAAEvfi.jpg,22349,https://twitter.com/dog_rates/status/883838122936631299/photo/1,
883360690899218434,2017-07-07 16:22:55+00:00,Meet Grizzwald. He may be the floofiest floofer I ever did see. Lost eyes saving a schoolbus from a volcano erpuption. 13/10 heroic as h*ck https://t.co/rf661IFEYP,Twitter for iPhone,,3825,13,10,Grizzwald,https://pbs.twimg.com/media/DEJT3FeXoAAtwUy.jpg,22986,https://twitter.com/dog_rates/status/883360690899218434/photo/1,floofer
882992080364220416,2017-07-06 15:58:11+00:00,This is Rusty. He wasn't ready for the first pic. Clearly puppared for the second. 13/10 confirmed great boy https://t.co/tyER0KpdXj,Twitter for iPhone,,4122,13,10,Rusty,https://pbs.twimg.com/media/DEEEnIqXYAAiJh_.jpg,24445,"https://twitter.com/dog_rates/status/882992080364220416/photo/1,https://twitter.com/dog_rates/status/882992080364220416/photo/1",
882627270321602560,2017-07-05 15:48:34+00:00,This is Stanley. He has his first swim lesson today. Doggle straps adjusted. Ready to go. 13/10 Phelps is nervous (IG: stanleythe_corgi) https://t.co/Nx52PGwH94,Twitter for iPhone,,6342,13,10,Stanley,https://pbs.twimg.com/media/DD-40X3WAAAJPU5.jpg,28382,https://twitter.com/dog_rates/status/882627270321602560/photo/1,
882045870035918850,2017-07-04 01:18:17+00:00,"This is Koko. Her owner, inspired by Barney, recently built a cart for her to use during walks if she got tired. 13/10 rest easy Koko https://t.co/zeDpnsKX7w",Twitter for iPhone,,5203,13,10,Koko,https://pbs.twimg.com/media/DD2oCl2WAAEI_4a.jpg,29900,"https://twitter.com/dog_rates/status/882045870035918850/photo/1,https://twitter.com/dog_rates/status/882045870035918850/photo/1,https://twitter.com/dog_rates/status/882045870035918850/photo/1,https://twitter.com/dog_rates/status/882045870035918850/photo/1",
881666595344535552,2017-07-03 00:11:11+00:00,This is Gary. He couldn't miss this puppertunity for a selfie. Flawless focusing skills. 13/10 would boop intensely https://t.co/7CSWCl8I6s,Twitter for iPhone,,11099,13,10,Gary,https://pbs.twimg.com/media/DDxPFwbWAAEbVVR.jpg,51522,https://twitter.com/dog_rates/status/881666595344535552/photo/1,
